time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-09-20T09:32:54Z,-34.711391,-58.282397,33.0,17.0,63.3,1.36,5,gps,,,,,,
2016-09-20T09:33:05Z,-34.711351,-58.282154,62.0,13.0,20.8,2.31,4,gps,1,1.7,2.9,11.0,22.0,M
2016-09-20T09:33:22Z,-34.711217,-58.281922,71.0,21.0,316.6,1.02,10,gps,1.3,2.3,2.6,40.3,22.0,M
2016-09-20T09:33:32Z,-34.711171,-58.281718,60.0,18.0,37.6,1.68,9,gps,1.3,2.3,2.6,48.6,22.0,M
2016-09-20T09:33:43Z,-34.710977,-58.281621,62.0,14.0,41.4,1.58,3,gps,1,,,37.8,22.0,M
2016-09-20T09:33:53Z,-34.710969,-58.281631,84.0,19.0,19.6,1.01,8,gps,1,2.0,2.3,39.7,22.0,M
2016-09-20T09:34:02Z,-34.711148,-58.281671,27.0,14.0,19.6,0.56,10,gps,1.5,1.6,2.2,62.2,22.0,M
2016-09-20T09:34:10Z,-34.710761,-58.281350,34.0,9.0,322.2,3.21,6,gps,1.4,2.6,2.9,5.0,22.0,M
2016-09-20T09:34:20Z,-34.710683,-58.281239,40.0,12.0,147.9,1.53,3,gps,1,,,11.9,22.0,M
2016-09-20T09:34:30Z,-34.710494,-58.280998,73.0,11.0,35.4,1.61,7,gps,1,1.0,1.7,17.6,22.0,M
2016-09-20T09:34:41Z,-34.710473,-58.281085,-2.0,10.0,350.5,2.04,6,gps,1,1.9,2.2,50.8,22.0,M
2016-09-20T09:34:50Z,-34.710368,-58.280882,62.0,16.0,67.2,0.91,5,gps,1.4,2.8,3.1,-24.5,22.0,M
2016-09-20T09:35:00Z,-34.710227,-58.280720,42.0,19.0,39.2,1.57,8,gps,1.3,0.9,1.6,39.8,22.0,M
2016-09-20T09:35:13Z,-34.710049,-58.280459,65.0,25.0,331.8,2.66,8,gps,1,,,19.9,22.0,M
2016-09-20T09:35:23Z,-34.710005,-58.280347,47.0,8.0,25.5,1.4,9,gps,1,1.8,2.2,43.0,22.0,M
2016-09-20T09:35:33Z,-34.709911,-58.280270,63.0,23.0,58.7,2.63,8,gps,1.5,2.9,3.3,24.5,22.0,M
2016-09-20T09:35:43Z,-34.709781,-58.280503,35.0,17.0,352.9,1.53,2,gps,1,,,40.9,22.0,M
2016-09-20T09:35:52Z,-34.709609,-58.280266,43.0,17.0,,0.0,9,gps,1,2.2,2.8,13.4,22.0,M
2016-09-20T09:36:00Z,-34.709588,-58.280547,39.0,12.0,326.0,2.24,1,gps,1,1.3,1.6,20.6,22.0,M
2016-09-20T09:36:11Z,-34.709486,-58.280702,54.0,14.0,338.1,0.89,6,gps,1,1.5,1.9,16.6,22.0,M
2016-09-20T09:36:22Z,-34.709369,-58.280708,-1.0,13.0,204.2,1.08,9,gps,1,1.8,2.5,32.1,22.0,M
2016-09-20T09:36:36Z,-34.709306,-58.280623,18.0,8.0,,0.0,7,gps,1,1.6,2.0,-22.5,22.0,M
2016-09-20T09:36:45Z,-34.709382,-58.280620,22.0,22.0,,0.0,4,gps,1,0.9,1.4,-3.6,22.0,M
2016-09-20T09:36:55Z,-34.709432,-58.280619,43.0,29.0,,0.0,9,gps,1,0.8,1.7,-0.5,22.0,M
2016-09-20T09:37:05Z,-34.709384,-58.280564,40.0,24.0,,0.0,11,gps,1,0.9,1.3,20.6,22.0,M
2016-09-20T09:37:14Z,-34.709579,-58.280228,31.0,17.0,126.2,5.91,9,gps,1,0.9,2.1,18.4,22.0,M
2016-09-20T09:37:21Z,-34.709716,-58.279659,33.0,12.0,113.4,4.59,1,gps,1,0.9,1.8,9.4,22.0,M
2016-09-20T09:37:31Z,-34.709856,-58.279150,31.0,7.0,117.4,3.88,11,gps,1,0.9,1.6,11.3,22.0,M
2016-09-20T09:37:39Z,-34.709909,-58.278929,37.0,7.0,50.8,1.45,4,gps,1,0.8,1.2,8.9,22.0,M
2016-09-20T09:37:47Z,-34.709912,-58.278665,42.0,6.0,139.4,2.67,15,gps,1,0.8,1.2,15.1,22.0,M
2016-09-20T09:37:55Z,-34.710068,-58.278600,38.0,9.0,139.5,1.47,5,gps,1,0.8,1.1,20.1,22.0,M
2016-09-20T09:38:02Z,-34.710082,-58.278558,40.0,15.0,143.9,0.81,2,gps,1,0.8,1.3,16.2,22.0,M
2016-09-20T09:38:10Z,-34.710163,-58.278426,40.0,9.0,114.2,1.1,7,gps,1,0.9,2.0,17.9,22.0,M
2016-09-20T09:38:18Z,-34.710161,-58.278345,36.0,10.0,114.3,1.06,7,gps,1,0.8,1.1,17.6,22.0,M
2016-09-20T09:38:26Z,-34.710197,-58.278293,31.0,8.0,129.3,1.15,5,gps,1,0.8,1.3,14.4,22.0,M
2016-09-20T09:38:34Z,-34.710200,-58.278153,35.0,9.0,71.2,0.78,3,gps,1,0.9,1.5,8.5,22.0,M
2016-09-20T09:38:41Z,-34.710284,-58.278143,34.0,16.0,199.7,0.53,3,gps,1,0.9,1.5,13.1,22.0,M
2016-09-20T09:38:49Z,-34.710186,-58.278192,26.0,10.0,,0.0,13,gps,1,0.8,1.3,11.7,22.0,M
2016-09-20T09:38:57Z,-34.710202,-58.278226,24.0,13.0,,0.0,10,gps,1,0.9,1.4,3.6,22.0,M
2016-09-20T09:39:05Z,-34.710224,-58.278216,26.0,8.0,,0.0,13,gps,1.0,0.9,1.3,2.1,22.0,M
2016-09-20T09:39:13Z,-34.710226,-58.278219,29.0,15.0,,0.0,6,gps,1,,,4.2,22.0,M
2016-09-20T09:39:21Z,-34.710224,-58.278222,31.0,13.0,,0.0,11,gps,1.0,0.8,1.3,6.5,22.0,M
2016-09-20T09:39:29Z,-34.710235,-58.278225,36.0,11.0,,0.0,10,gps,1.1,0.9,1.4,9.2,22.0,M
2016-09-20T09:39:40Z,-34.710245,-58.278229,35.0,22.0,,0.0,10,gps,1.2,0.9,1.5,14.1,22.0,M
2016-09-20T09:39:48Z,-34.710255,-58.278228,35.0,16.0,,0.0,0,gps,1,,,13.4,22.0,M
2016-09-20T09:39:56Z,-34.710262,-58.278225,36.0,13.0,,0.0,7,gps,1,1.0,2.5,13.3,22.0,M
2016-09-20T09:40:04Z,-34.710348,-58.278019,36.0,12.0,130.4,8.52,4,gps,1,0.9,2.1,14.0,22.0,M
2016-09-20T09:40:12Z,-34.710793,-58.276987,47.0,16.0,118.6,14.04,4,gps,1,0.9,1.9,13.6,22.0,M
2016-09-20T09:40:20Z,-34.711480,-58.275707,41.0,16.0,117.6,18.67,5,gps,1,0.9,1.7,24.5,22.0,M
2016-09-20T09:43:15Z,-34.720966,-58.263481,56.0,31.0,,0.0,10,gps,1.1,0.8,1.4,-2.6,22.0,M
2016-09-20T09:46:27Z,-34.743504,-58.243876,-16.0,38.0,,,8,gps,1.1,0.9,1.4,-38.0,22.0,M
2016-09-20T09:46:56Z,-34.745591,-58.241835,-12.0,36.0,,,7,gps,1,,,-35.4,22.0,M
2016-09-20T09:47:15Z,-34.747798,-58.239813,-7.0,32.0,141.5,15.21,6,gps,1.1,0.9,1.4,-30.0,22.0,M
2016-09-20T09:48:02Z,-34.751692,-58.234118,33.0,40.0,,,10,gps,1,1.0,2.1,10.5,22.0,M
2016-09-20T09:48:39Z,-34.752811,-58.231927,10.0,29.0,,,11,gps,1.3,1.0,1.6,-11.8,22.0,M
2016-09-20T09:48:52Z,-34.752523,-58.232146,53.0,17.0,11.3,1.27,14,gps,1,,,-11.9,22.0,M
2016-09-20T09:49:02Z,-34.752718,-58.232164,34.0,30.0,,,7,gps,1,0.9,1.5,31.3,22.0,M
2016-09-20T09:49:14Z,-34.752763,-58.231921,42.0,40.0,107.3,2.54,8,gps,1,1.0,1.6,19.2,22.0,M
2016-09-20T09:49:28Z,-34.753069,-58.231196,45.0,31.0,116.3,8.08,9,gps,1,0.9,1.5,20.4,22.0,M
2016-09-20T09:49:45Z,-34.754384,-58.229063,29.0,38.0,119.0,17.19,10,gps,1.1,0.9,1.4,1.2,22.0,M
2016-09-20T09:50:12Z,-34.757273,-58.222876,15.0,31.0,119.5,23.02,10,gps,1,,,-8.7,22.0,M
2016-09-20T09:50:28Z,-34.758732,-58.219428,10.0,39.0,118.5,21.78,9,gps,1.1,0.8,1.3,-15.3,22.0,M
2016-09-20T09:50:47Z,-34.760275,-58.215782,17.0,40.0,117.4,19.27,10,gps,1.5,0.9,1.8,-5.4,22.0,M
2016-09-20T09:51:08Z,-34.761768,-58.212857,26.0,38.0,115.0,9.99,9,gps,1,0.9,1.6,3.4,22.0,M
2016-09-20T09:53:46Z,-34.764250,-58.208662,38.0,11.0,165.8,2.1,15,gps,1.0,0.8,1.3,31.5,22.0,M
2016-09-20T09:53:55Z,-34.764416,-58.208689,35.0,14.0,206.9,1.39,11,gps,1,,,16.0,22.0,M
2016-09-20T09:54:04Z,-34.764419,-58.208620,27.0,13.0,,0.0,7,gps,1,0.9,1.5,13.3,22.0,M
2016-09-20T09:54:14Z,-34.764476,-58.208593,33.0,14.0,122.3,1.41,7,gps,1,0.9,1.4,5.5,22.0,M
2016-09-20T09:54:23Z,-34.764524,-58.208465,23.0,13.0,,0.0,9,gps,1,0.9,1.3,11.1,22.0,M
2016-09-20T09:54:32Z,-34.764534,-58.208442,21.0,13.0,,0.0,11,gps,1.2,0.9,1.5,0.7,22.0,M
2016-09-20T09:54:41Z,-34.764563,-58.208418,20.0,10.0,,0.0,12,gps,1.0,0.9,1.4,-0.7,22.0,M
2016-09-20T09:54:50Z,-34.764587,-58.208387,22.0,10.0,,0.0,9,gps,1,,,-1.9,22.0,M
2016-09-20T09:54:59Z,-34.764592,-58.208300,20.0,11.0,,0.0,6,gps,1,0.9,1.8,0.4,22.0,M
2016-09-20T09:55:08Z,-34.764584,-58.208260,24.0,12.0,253.7,0.73,11,gps,1.4,1.0,1.7,-2.4,22.0,M
2016-09-20T09:55:17Z,-34.764743,-58.208034,22.0,7.0,,0.0,10,gps,1.1,1.0,1.5,2.3,22.0,M
2016-09-20T09:55:27Z,-34.764753,-58.208032,25.0,15.0,,0.0,9,gps,1,,,0.4,22.0,M
2016-09-20T09:55:37Z,-34.764762,-58.208029,25.0,23.0,,0.0,10,gps,1,1.0,1.5,3.1,22.0,M
2016-09-20T09:55:45Z,-34.764755,-58.208019,26.0,11.0,,0.0,1,gps,1,1.0,1.7,3.5,22.0,M
2016-09-20T09:55:53Z,-34.764767,-58.207981,40.0,12.0,,0.0,13,gps,0.9,0.9,1.3,3.9,22.0,M
2016-09-20T09:56:02Z,-34.764781,-58.207989,40.0,13.0,,0.0,4,gps,1,,,18.4,22.0,M
2016-09-20T09:56:11Z,-34.764790,-58.207990,40.0,13.0,,0.0,3,gps,1,0.9,1.4,17.7,22.0,M
2016-09-20T09:56:20Z,-34.764799,-58.207996,38.0,11.0,,0.0,7,gps,1,0.9,1.4,17.7,22.0,M
2016-09-20T09:56:29Z,-34.764803,-58.207993,39.0,17.0,,0.0,2,gps,1,0.9,1.6,16.4,22.0,M
2016-09-20T09:56:38Z,-34.764810,-58.207983,37.0,11.0,,0.0,5,gps,1,1.0,1.7,17.5,22.0,M
2016-09-20T09:56:47Z,-34.764814,-58.207981,37.0,13.0,,0.0,13,gps,1.0,0.9,1.4,15.3,22.0,M
2016-09-20T09:56:56Z,-34.764817,-58.207986,38.0,9.0,,0.0,4,gps,1,,,14.7,22.0,M
2016-09-20T09:57:04Z,-34.764817,-58.207981,39.0,11.0,,0.0,11,gps,1,0.9,1.3,15.8,22.0,M
2016-09-20T09:57:11Z,-34.764813,-58.207984,38.0,17.0,,0.0,8,gps,1,1.0,2.3,17.2,22.0,M
2016-09-20T09:57:19Z,-34.764812,-58.207988,37.0,14.0,,0.0,14,gps,1.2,0.9,1.5,15.9,22.0,M
2016-09-20T09:57:26Z,-34.764812,-58.207993,35.0,14.0,,0.0,2,gps,1,,,14.7,22.0,M
2016-09-20T09:57:34Z,-34.764790,-58.208061,37.0,10.0,272.7,0.99,12,gps,0.9,0.9,1.3,13.3,22.0,M
2016-09-20T09:57:43Z,-34.764795,-58.208084,26.0,11.0,,0.0,8,gps,1.9,1.0,2.1,14.9,22.0,M
2016-09-20T09:57:52Z,-34.764814,-58.208119,22.0,20.0,,0.0,11,gps,1,,,3.9,22.0,M
2016-09-20T09:58:00Z,-34.764800,-58.208126,25.0,13.0,,0.0,10,gps,1,0.9,1.6,0.3,22.0,M
2016-09-20T09:58:08Z,-34.764797,-58.208129,22.0,20.0,,0.0,2,gps,1,0.9,1.4,2.6,22.0,M
2016-09-20T09:58:17Z,-34.764786,-58.208135,24.0,16.0,,0.0,3,gps,1,0.9,1.5,0.3,22.0,M
2016-09-20T09:58:27Z,-34.764768,-58.208129,23.0,22.0,,0.0,9,gps,1.4,1.0,1.7,2.4,22.0,M
2016-09-20T09:58:36Z,-34.764754,-58.208133,24.0,18.0,,0.0,9,gps,1,,,1.3,22.0,M
2016-09-20T09:58:46Z,-34.764748,-58.208142,27.0,18.0,,0.0,12,gps,1,0.9,1.4,1.6,22.0,M
2016-09-20T09:58:54Z,-34.764749,-58.208149,28.0,20.0,,0.0,3,gps,1,0.9,1.5,5.4,22.0,M
2016-09-20T09:59:02Z,-34.764751,-58.208158,30.0,14.0,,0.0,6,gps,1,1.0,1.6,6.4,22.0,M
